0,1,2,3,4,5,6,7
LTB,LYZ,CCL5,CD74,NKG7,LST1,CD74,PF4
RPS27A,CST3,NKG7,HLA-DRA,GNLY,AIF1,HLA-DRB1,PPBP
RPL13,TYROBP,IL32,HLA-DPB1,CTSW,FCER1G,ARPC1B,GPX1
IL32,FTL,B2M,CD79A,GZMB,FTL,HLA-DRA,GNG11
RPS3A,S100A9,GZMA,HLA-DRB1,PRF1,COTL1,HLA-DPB1,CCL5
MALAT1,FTH1,CST7,HLA-DPA1,B2M,CST3,HLA-DMA,SDPR
RPS4X,S100A8,CTSW,CD79B,GZMA,TYROBP,H2AFY,SPARC
MAL,LGALS1,PTPRCAP,HLA-DQA1,CST7,FTH1,HLA-DQA1,OAZ1
CD2,FCN1,GZMK,MS4A1,FGFBP2,FCGR3A,ACTB,TPM4
RPS5,AIF1,MALAT1,HLA-DQB1,CD247,SAT1,SRGN,RGS18
AQP3,LST1,LYAR,CD37,FCGR3A,CTSS,HLA-DPA1,NRGN
HINT1,S100A6,GZMM,TCL1A,SPON2,S100A4,COTL1,HIST1H2AC
GIMAP7,LGALS2,KLRG1,LINC00926,UBB,S100A11,PPIB,CD9
GIMAP5,S100A4,GZMH,LTB,SRGN,OAZ1,GSTP1,SAT1
LDLRAP1,FCER1G,PRF1,HLA-DMA,TYROBP,LGALS1,ATP5A1,ACTB
ACAP1,TYMP,RPS27A,HVCN1,GZMM,IFITM3,HLA-DQB1,FTH1
TRAF3IP3,GSTP1,HOPX,HLA-DMB,FCER1G,TYMP,GPX1,ARPC1B
ITM2A,GPX1,APOBEC3G,RPS5,HOPX,S100A6,LAMTOR1,CLU
TRABD2A,CTSS,S100A4,RPL8,CCL4,NPC2,LGALS1,TUBB1
FYB,SAT1,CCL4,IRF8,ID2,HLA-DPA1,OAZ1,GP9
PASK,OAZ1,SAMD3,FCRLA,CLIC3,SRGN,CST3,NCOA4
TNFRSF4,S100A11,CD2,PTPRCAP,PTPRCAP,ARPC1B,SUMO3,ITGA2B
SELL,COTL1,TIGIT,EAF2,GZMH,ACTB,PYCARD,MPP1
CRIP2,NPC2,FGFBP2,HLA-DOB,XCL2,HLA-DRB1,RAB7A,PGRMC1
GIMAP4,GRN,MT-CYB,RPL13,IGFBP7,HLA-DRA,GSTO1,AP001189.4
SCGB3A1,HLA-DRA,ID2,PKIG,CCL5,IFI30,SNX3,CA2
RPL8,MS4A6A,CD247,CD72,AKR1C3,LYZ,ATP5C1,FERMT3
PTPRCAP,PYCARD,FCRL6,SNHG7,APOBEC3G,PYCARD,TPM4,LAMTOR1
CISH,LGALS3,GZMB,P2RX5,PRSS23,ABI3,VAMP8,PTCRA
GPR183,FCGRT,SH2D1A,SMIM14,PDIA3,CD74,HLA-DMB,TREML1
SRSF5,TALDO1,PRR5,SPIB,ARPC5L,HLA-DPB1,LYZ,MMD
RP11-18H21.1,HLA-DRB1,KLRB1,KIAA0125,MALAT1,ARRB2,FCER1A,TMEM40
ICOS,SRGN,C9orf142,BLNK,XCL1,C1orf162,TYMP,SRGN
IL23A,NCF2,ZAP70,RPS27A,ZAP70,C5AR1,ISOC2,SNCA
ATP6V0E2,ARPC1B,GIMAP7,CD19,GPR56,MAFB,PRDX3,F13A1
TNFRSF25,IFITM3,ARPC5L,SWAP70,HAVCR2,TNFRSF1B,GSN,ODC1
RIC3,IFI30,LITAF,IGLL5,SAMD3,BLOC1S1,SNRPB,TALDO1
ILF3-AS1,CDA,PTGDR,RPS3A,LITAF,TNFSF10,CAP1,PTGS1
NAP1L4,C1orf162,ACTB,SNX29P2,PLEKHF1,CDA,GRN,SEPT5
PPP1R2,ACTB,CD160,ADAM28,ACTB,FCN1,PSMA7,TPM1
AKTIP,TNFSF13B,RORA,LAT2,PTGDR,S100A9,OSTC,MYL9
CD96,ALDH2,STK17A,ARHGAP24,C5orf56,FGL2,CD1C,ACRBP
KRT1,FPR1,PLEKHF1,LIMD2,CCL3,CD48,CNPY3,DYNLL1
DENND2D,CD74,GYG1,MALAT1,ABI3,BLVRA,MT-ND5,SNX3
CORO1B,IGSF6,GIMAP4,PRKCB,C9orf142,OAS1,SRM,LY6G6F
SUCLG2,APOBEC3A,JAKMIP1,C16orf74,RAMP1,FCGRT,PSMB6,GP1BA
STK17A,HLA-DPA1,MFSD10,SNX3,PSMB8,APOBEC3A,CLEC10A,CMTM5
MDS2,LINC00936,XCL2,MZB1,FCRL6,LGALS3,RBM3,RP11-367G6.3
RP11-589C21.6,ASGR1,GNLY,PPP1R14A,CD160,STX11,NDUFC2,GAS2L1
MAGEH1,PLBD1,GPR56,PLD4,KLRC1,CAPZB,UQCRC1,PLA2G12A
GPR171,CNPY3,PCSK7,FCRL2,H3F3B,FCGR2A,PLD4,MARCH2
AP3M2,HLA-DMA,TMED4,BTK,PRMT2,NCF2,DNAJC15,TSC22D1
RORA,BLVRA,MT-CO1,IGJ,KIR3DL2,TNFSF13B,TMBIM6,PARVB
IL27RA,HLA-DPB1,GPR171,RPL22L1,KLRB1,CAP1,YWHAE,GSN
UBE2D2,SMCO4,DGKZ,RP5-887A10.1,CAP1,SNX3,MRPL51,MFSD1
CCND2,SERPINB1,HSP90AA1,TNFRSF13C,ITGB7,UBE2L6,CCT4,TMEM50A
THEM4,STX11,GIMAP5,GUCD1,S100B,GSTO1,MRPL41,C2orf88
CCNG1,ATP6V1F,TMBIM6,PARP1,CYB5B,MT-CO1,MT-CO1,AC147651.3
XXbac-BPG299F13.17,FOLR3,PDIA3,C15orf57,LAT2,TALDO1,NUDT1,FAXDC2
NOG,MT-CO1,BUB3,BACE2,TBCB,CAPZA2,FCGRT,CLEC1B
RP5-1073O3.7,VAMP8,TERF2IP,KIAA0040,PSMC4,CD79B,C16orf13,HGD
CD247,H2AFY,BTN3A2,CD82,SERPINB1,SMCO4,C17orf62,C6orf25
BOLA3,FGL2,XCL1,RP11-428G5.5,TMEM50A,CTD-2006K23.1,IDH2,MAP3K7CL
SNHG8,CCL3,PILRB,NT5C,LYAR,C20orf27,RNASEH2B,FHL1
SLFN5,S100A12,CPNE2,SELL,BTN3A2,LINC00936,PCNA,MPST
UBIAD1,IL8,PRSS23,DRAM2,ARPC4,PSMA7,RALY,MCUR1
FAM107B,MAFB,GADD45B,ZNF92,FLOT1,ATP6V0E1,PFDN2,NT5C3A
CCDC66,LAMTOR1,CLIC3,RNASEH2B,GNPTAB,BTK,SERPINF1,GSTO1
THYN1,IL1B,TMEM50A,PHACTR1,RBM39,SELPLG,DYNLL1,VDAC3
UBAC2,GSTO1,ORAI1,PCDH9,PPIB,RXRA,PHPT1,RBBP6
FUS,TNFAIP2,RPS3A,CD1C,SELL,CNIH4,SRSF3,PDZK1IP1
BEX4,FCGR2A,CDC42EP3,CAMK1D,KIR2DL3,H2AFY,UBE2D3,FSTL1
SLC40A1,FCGR1A,SRGN,P2RY10,DEF6,UQCRC1,PHACTR1,ITGB3
GALT,GCA,TMCO1,PAX5,GSTP1,CSNK2B,SF3B5,ESAM
B2M,C5AR1,CAPN12,SCPEP1,GIMAP7,SH3BP1,CLNS1A,STX11
SRP9,JUND,ITGB7,MACROD2,SCP2,CAT,PPT1,ALOX12
XPOT,SAT2,ARL6IP5,GGA2,KLRG1,DOK2,DDT,HIST1H2BJ
SSBP1,DYNLT1,SNRPB,RPS4X,RCN2,RELT,PQBP1,SENCR
TCEAL8,H3F3B,DENND2D,PAWR,STK17A,RNF181,CSNK2B,CLDN5
REXO2,ARRB2,RAB9A,KCNG1,MT-CO1,MARCKSL1,SNX5,UBAC2
NSA2,G0S2,UBB,ODC1,SH2D1A,LSM6,RGS1,SCGB1C1
LRRC8C,TMEM205,HENMT1,CHI3L2,PTPN7,MPP1,CAT,DMTN
GIMAP2,ATP5D,CAP1,RP11-164H13.1,CAPZB,LAMTOR5,CCT7,VAPA
FKBP5,C20orf27,RGS14,CDC40,RAB7A,ATP6V1F,ACADM,SLC40A1
RNF139,OSCAR,RNF113A,ARL4A,PILRB,SMS,ATXN10,XPNPEP1
HNRNPH3,SCPEP1,SPON2,RASGRP2,HBA1,PSMB8,UBE2L6,TMEM91
KIAA1430,ZYX,MLLT6,AIM2,TIGIT,DYNLT1,OTUB1,PACSIN2
TTC3,RETN,NPRL2,COQ7,DENND2D,ABRACL,EBNA1BP2,B2M
NARG2,TNFSF10,SYTL2,EIF1AY,SDHAF2,VAMP5,NT5C,ARHGAP6
ANAPC16,NAPRT1,PPIB,CEPT1,HSP90AA1,ATP5C1,STMN1,RP11-879F14.2
CTA-29F11.1,TMEM219,BTN3A1,ANAPC16,HENMT1,OSCAR,MPC2,PVALB
ADPRM,HLA-DMB,BAG5,CPNE5,RALY,MT-CO2,RBM39,CTTN
NOP58,UBE2L6,RCN2,IL6,CD47,ARHGDIA,HINT1,ANKRD9
PITPNA-AS1,ZNF467,RCHY1,AL928768.3,SNAPIN,GRN,SDHB,SPHK1
ATF7IP2,CRTAP,PRNP,ADD1,RNF213,IGSF6,PDIA3,GMPR
C14orf1,APOBEC3B,CDC37,EBF1,NCR1,ACTR2,MZB1,C19orf33
ABRACL,TNFRSF1B,SRSF3,ACADM,PLEKHA1,NAPRT1,POLR2E,TMEM140
RRS1,TREX1,TOR1A,STK17A,GSN,ZYX,COMMD4,TMEM219
TMEM14B,RXRA,STX4,EIF1B,CTBP2,GNS,TYROBP,DIAPH1
NDUFA12,UBE2D1,DEXI,ITSN2,ACP1,EPN1,EIF3D,SYTL4
CCT4,RILPL2,CLEC2B,RABEP2,CAPN12,DYNLL1,BLOC1S1,LCN2
FBXO21,BLOC1S1,PRMT2,FAM212A,LIMD2,SCPEP1,C12orf45,C15orf26
PAXIP1-AS1,CASP4,ACAP1,NEIL1,RMDN3,CNPY3,PSMA1,AC007879.7
IFI27,PSMA7,USP19,RELB,MAP3K8,UBXN1,FKBP3,SCN1B
DNAJA3,RAB34,HDAC1,BBX,CCDC12,RILPL2,CD47,SEPT4
ARL6IP5,MYADM,IDH2,NEMF,SPPL2A,IFI35,FCER1G,GATA2
CARS,VAMP5,DCAF5,RIC3,F2R,NCKAP1L,TOMM40,SMIM5
SNHG12,RNF7,RNF125,TNFRSF17,C1orf162,CASP4,ILF3,RP11-359I18.5
FHL1,DOK2,POLR2K,SIAH2,PTGDS,BCL2A1,VDAC3,SAMD14
API5,UQCRC1,CD96,SYVN1,S100A4,POLR3K,NDUFA2,TDRP
WTAP,FCGR1B,C5orf56,NFATC1,LAIR1,CKS1B,C14orf166,RSPH9
LPIN1,GRB2,MMADHC,SNX10,RNF125,G0S2,MTCH2,ATP9A
CCT7,SMARCD3,HSPB11,ACBD3,MRPS12,TBCB,S100A11,SH3BGRL2
MOCS2,SGK1,GNPTAB,HDAC9,LGALS1,CCDC12,ENHO,TGFB1I1
PNRC1,MBOAT7,FAM173A,ATP10D,DOK2,SMPDL3A,LYPLA1,ACADVL
EXOSC8,PTAFR,RPS19BP1,FAM96A,MVD,SH3GLB1,TMEM14C,NT5M
RFC1,IL17RA,COL6A2,LINC01013,MAF1,IDH2,MRP63,AC092295.7
PIK3R1,ID2,DERL1,ICOSLG,PLEKHJ1,PPT1,TAF10,PRKAR2B
SF3B1,SNX3,DPY30,RP11-102N12.3,CARHSP1,IFIT1,HSP90AA1,LGALSL
SPG20,IFI35,GPKOW,PWP1,C17orf62,C1QA,ACTR2,ENKUR
NKTR,PPT1,SMARCA4,SLC50A1,SRSF3,SDHB,ATP6V1F,EGFL7
ENTPD3-AS1,RNF181,LMAN2,ZNF718,AATF,MT-ND5,TMEM208,CST3
MRPS33,LTB4R,MAEA,MRPS18A,FERMT3,ARAP1,KIAA0101,SERPINE2
MALT1,OAS1,SHARPIN,MAP3K8,DERL1,PRDX1,BLNK,NPPA-AS1
ICAM2,TXNDC17,ALG5,LUC7L3,PRR5L,SERPINB1,MAF1,GTPBP2
RGS1,CLEC10A,NFU1,GNG3,LMAN2,TNNI2,HSPB11,SPOCD1
PCNX,DYNLL1,PSMB8,NT5C3A,TERF2IP,NDUFA12,DNAJA1,AC137932.6
DEXI,TNFRSF1A,IL16,GRAP,SH3GLB1,SNX10,CRELD2,CAPZA2
CEP68,PPIF,COMMD8,PHF14,CLEC2B,MLX,LGALS2,GFI1B
TMEM116,PLA2G7,HNRNPM,METTL21A,STMN1,NCOA4,STRA13,ABCC3
USP20,MPP1,TSPAN15,TCF12,PPIE,SNX5,RPL22L1,HEXIM2
BUB3,IER3,PDCD1,ZCCHC10,PHPT1,SRA1,TMCO1,RPS19BP1
SMDT1,PHPT1,FAM43A,BLCAP,ABCB1,ICAM2,BTK,C4orf3
CLYBL,SNX10,F2R,PNPLA8,VDAC3,FPR1,SRA1,MBNL1-AS1
CITED4,NRGN,YWHAB,TCEA2,TRPV2,MT-ATP6,C20orf27,AGPAT1
PPP6C,SF3B5,KLRC1,DENND5B,CSNK2B,TREX1,C1orf162,TBC1D15
PSMG2,MYO9B,STX18,UIMC1,NT5C,LYPD2,DDAH2,UNC45A
C16orf54,NDUFB10,ELOVL4,NEK8,ZNF276,PPP2R3C,PITHD1,PPP1R14A
MLLT10,ADAP2,DIDO1,SKAP2,PDZD11,YWHAE,NDUFB10,PKIG
LSM14A,IGFBP7,FAM63B,TCL1B,ASB8,APH1B,RPS19BP1,ZYX
EIF3D,GSN,ECSIT,RBBP6,ACAT2,CORO1B,PSMD14,CCNG1
LZTS2,PARL,P2RY10,CHD2,NDUFB8-1,TMEM189,CARHSP1,LDLRAP1
GRAP,CXCL2,VPS13A,RP11-727F15.9,SRP9,SMAP2,LST1,LINC01003
RBM4,SRA1,NDUFAF4,MYCBP2,CCL4L1,PSMB6,MLEC,UIMC1
PYGO2,CD93,EMB,MARCKSL1,SSBP3,TXNDC17,PSMB8,UBB
SLC4A7,PRKCD,STMN1,RP11-960L18.1,TMBIM4-1,ZNF593,ARHGDIA,C17orf59
